Designation,Email,Linkedin Connect,Met / Connected,Name,Organisation,Phone,Sl No,Type
Executive Vice President,,1479168000000,,Ravindranath Ratho,NCC Ltd ( Nagarjuna Constructions),,654,
Director - Energy,,1359590400000,,Razak Khatri,CRISIL Risk & Infrastructure Solutions Limited,,655,
Vice President,,1335225600000,,Reena Gupta,Credence Family Office,,656,
Certification in Anti Money Laundering,,1327536000000,,Reena Srivastava,Indiaforensic Certifications,,657,
Senior Banker - Equity,,1214179200000,,Remy Hassenforder,European Bank for Reconstruction and Development,,658,
Manager - Investment,,1297123200000,,Ribhu Ranjan Baruah,NEDFi Venture Capital,,659,
Consultant,,1418601600000,,Richard Gonsalves,Self,,660,
Business Development,,1248048000000,,Rishaad Currimjee,Currimjee Jeewanjee & Co Ltd,,661,
Zonal Head- Project & Structured Finance,,1517788800000,,Rishi Agarwal,Aditya Birla Finance Limited,,662,
Investment Banking,,1485734400000,,Ritesh Regulapati,IndusInd Bank,,663,
Vice President,,1334188800000,,Ritesh Sahay,IDBI Capital,,664,
"Director, Environment and Social Responsibility",,1436745600000,,Ritu Kumar,CDC Group plc,,665,
Vice Chairman,,1518652800000,,RL Narayanan,Centre for Innovation in Education and Empowerment ,,666,
